"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Feb 18 09:16:18 GMT 2025","Tue Feb 18 09:16:18 GMT 2025","9","","com.example.catalog.JSONDataSourceServiceTests.ArtistControllerTest","","com.example.catalog.JSONDataSourceServiceTests.ArtistControllerTest","testDeleteArtist_Success","testDeleteArtist_Success()",""
"passed","Tue Feb 18 09:16:19 GMT 2025","Tue Feb 18 09:16:19 GMT 2025","7","","com.example.catalog.SpotifyAPIDataSourcesTests.ArtistControllerTest","","com.example.catalog.SpotifyAPIDataSourcesTests.ArtistControllerTest","testGetArtistById_NullArtist","testGetArtistById_NullArtist()",""
"passed","Tue Feb 18 09:16:18 GMT 2025","Tue Feb 18 09:16:18 GMT 2025","8","","com.example.catalog.JSONDataSourceServiceTests.AlbumControllerTest","","com.example.catalog.JSONDataSourceServiceTests.AlbumControllerTest","testCreateAlbum_Exists","testCreateAlbum_Exists()",""
"passed","Tue Feb 18 09:16:18 GMT 2025","Tue Feb 18 09:16:18 GMT 2025","8","","com.example.catalog.JSONDataSourceServiceTests.ArtistControllerTest","","com.example.catalog.JSONDataSourceServiceTests.ArtistControllerTest","testCreateArtist_Success","testCreateArtist_Success()",""
"passed","Tue Feb 18 09:16:18 GMT 2025","Tue Feb 18 09:16:18 GMT 2025","7","","com.example.catalog.JSONDataSourceServiceTests.AlbumControllerTest","","com.example.catalog.JSONDataSourceServiceTests.AlbumControllerTest","testUpdateTrackInAlbum_TrackExists","testUpdateTrackInAlbum_TrackExists()",""
"passed","Tue Feb 18 09:16:18 GMT 2025","Tue Feb 18 09:16:18 GMT 2025","10","","com.example.catalog.JSONDataSourceServiceTests.AlbumControllerTest","","com.example.catalog.JSONDataSourceServiceTests.AlbumControllerTest","testGetAlbumTracks_Success","testGetAlbumTracks_Success()",""
"passed","Tue Feb 18 09:16:17 GMT 2025","Tue Feb 18 09:16:17 GMT 2025","20","","com.example.catalog.JSONDataSourceServiceTests.SongControllerTest","","com.example.catalog.JSONDataSourceServiceTests.SongControllerTest","testDeleteSong_Success","testDeleteSong_Success()",""
"passed","Tue Feb 18 09:16:17 GMT 2025","Tue Feb 18 09:16:17 GMT 2025","42","","com.example.catalog.JSONDataSourceServiceTests.SongControllerTest","","com.example.catalog.JSONDataSourceServiceTests.SongControllerTest","testGetAllSongs_Success","testGetAllSongs_Success()",""
"passed","Tue Feb 18 09:16:18 GMT 2025","Tue Feb 18 09:16:18 GMT 2025","6","","com.example.catalog.JSONDataSourceServiceTests.AlbumControllerTest","","com.example.catalog.JSONDataSourceServiceTests.AlbumControllerTest","testDeleteTrackFromAlbum_InvalidId","testDeleteTrackFromAlbum_InvalidId()",""
"passed","Tue Feb 18 09:16:17 GMT 2025","Tue Feb 18 09:16:17 GMT 2025","15","","com.example.catalog.JSONDataSourceServiceTests.SongControllerTest","","com.example.catalog.JSONDataSourceServiceTests.SongControllerTest","testCreateSong_Exists","testCreateSong_Exists()",""
